node_a	node_b	score
SIRT1	CDKN1A	0.719
SIRT1	BCL2	0.744
SIRT1	TBP	0.745
SIRT1	CREBBP	0.754
SIRT1	PTEN	0.757
SIRT1	BRCA1	0.777
SIRT1	CREB1	0.781
SIRT1	CHEK2	0.784
SIRT1	HSP90AA1	0.803
SIRT1	ATM	0.856
SIRT1	HIF1A	0.927
SIRT1	EP300	0.972
SIRT1	HDAC1	0.993
SIRT1	FOXO3	0.999
SIRT1	TP53	0.999
MAPK1	CREBBP	0.803
MAPK1	EP300	0.818
MAPK1	CDKN2A	0.846
MAPK1	HSP90AA1	0.941
MAPK1	FOXO3	0.963
MAPK1	BCL2	0.969
MAPK1	HIF1A	0.985
MAPK1	TP53	0.998
AURKA	BRCA1	0.942
AURKA	TP53	0.998
MDM2	CDKN1A	0.980
MDM2	ATM	0.995
MDM2	MDM4	0.999
MDM2	EP300	0.999
MDM2	TP53	0.999
MDM2	CDKN2A	0.999
MDM2	USP7	0.999
MDM2	CHEK2	0.983
MDM2	HIF1A	0.988
MDM2	BCL2	0.953
CREBBP	EP300	0.999
CREBBP	CREB1	0.999
CREBBP	TP53	0.999
CREBBP	HIF1A	0.999
CREBBP	BRCA1	0.968
CREBBP	HDAC1	0.960
EP300	TP53	0.999
EP300	HIF1A	0.999
EP300	HDAC1	0.999
EP300	CREB1	0.999
EP300	BRCA1	0.986
TP53	ATM	0.999
TP53	BRCA1	0.999
TP53	CDKN1A	0.999
TP53	MDM4	0.999
TP53	CHEK2	0.999
TP53	BCL2	0.999
TP53	PTEN	0.999
TP53	HDAC1	0.999
TP53	HIF1A	0.999
TP53	USP7	0.999
TP53	CDKN2A	0.999
TP53	RAD51	0.999
TP53	FOXO3	0.998
TP53	NPM1	0.997
TP53	PRKDC	0.997
ATM	BRCA1	0.999
ATM	CHEK2	0.999
ATM	RAD51	0.995
ATM	TP53BP1	0.999
ATM	PTEN	0.897
BRCA1	RAD51	0.999
CHEK2	BRCA1	0.999
CHEK2	RAD51	0.930
TP53BP1	BRCA1	0.999
TP53BP1	RAD51	0.940
CDKN2A	BRCA1	0.832
CDKN2A	HIF1A	0.956
CDKN1A	CDKN2A	0.966
BCL2	BCL2L1	0.999
FOXO3	CDKN1A	0.995
