gene,degree,rank,is_hub_top10
TP53,40,1,True
MDM2,26,2,True
BRCA1,22,3,True
ATM,20,4,True
BCL2,19,5,True
PTEN,19,6,True
EP300,19,7,True
CDKN1A,18,8,True
HSP90AA1,18,9,True
CDKN2A,18,10,True
CREBBP,17,11,False
HDAC1,17,12,False
SIRT1,16,13,False
HIF1A,15,14,False
FOXO3,15,15,False
MDM4,13,16,False
CREB1,12,17,False
CHEK2,12,18,False
HSPA4,11,19,False
MAPK1,10,20,False
PRKDC,9,21,False
TP53BP1,9,22,False
DAXX,9,23,False
TBP,8,24,False
RAD51,8,25,False
BCL2L1,8,26,False
USP7,8,27,False
NPM1,7,28,False
HTT,6,29,False
RPA1,6,30,False
HIPK2,6,31,False
DDX5,5,32,False
UBE3A,5,33,False
AURKA,4,34,False
SFN,4,35,False
TP53BP2,4,36,False
NDN,3,37,False
HSPA9,3,38,False
CCNG1,2,39,False
RCHY1,2,40,False
PPP1R13L,1,41,False
